"","X","region","income","happy","age","finrela","marital","degree","health","wrkstat","partyid","polviews","sex","year"
"36736",36736,"PACIFIC",NA,"PRETTY HAPPY",82,"AVERAGE","WIDOWED","JUNIOR COLLEGE","POOR","RETIRED","STRONG DEMOCRAT","MODERATE","FEMALE",2000
"25506",25506,"W. SOU. CENTRAL","REFUSED","PRETTY HAPPY",47,"AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR REP","MODERATE","FEMALE",1991
"13684",13684,"MOUNTAIN","$25000 OR MORE","VERY HAPPY",31,"BELOW AVERAGE","MARRIED","LT HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG REPUBLICAN",NA,"MALE",1983
"25885",25885,"E. NOR. CENTRAL","$20000 - 24999","PRETTY HAPPY",65,"AVERAGE","MARRIED","LT HIGH SCHOOL",NA,"RETIRED","NOT STR DEMOCRAT","EXTREMELY LIBERAL","MALE",1991
"52623",52623,"NOT ASSIGNED","$6000 TO 6999","PRETTY HAPPY",28,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","FAIR","SCHOOL","STRONG DEMOCRAT","MODERATE","FEMALE",2010
"5121",5121,"E. SOU. CENTRAL","$8000 TO 9999","VERY HAPPY",41,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","CONSERVATIVE","FEMALE",1976
"24817",24817,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",63,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL","EXCELLENT","WORKING PARTTIME","STRONG REPUBLICAN","CONSERVATIVE","MALE",1991
"43571",43571,"SOUTH ATLANTIC","$4000 TO 4999",NA,50,NA,"SEPARATED","HIGH SCHOOL",NA,"WORKING PARTTIME","STRONG DEMOCRAT",NA,"FEMALE",2004
"31728",31728,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",36,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","MALE",1996
"3270",3270,"PACIFIC","$15000 - 19999","PRETTY HAPPY",57,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","MALE",1975
"39260",39260,"W. SOU. CENTRAL","$20000 - 24999","PRETTY HAPPY",30,"BELOW AVERAGE","NEVER MARRIED","BACHELOR","FAIR","WORKING FULLTIME","INDEPENDENT","MODERATE","FEMALE",2000
"39805",39805,"MIDDLE ATLANTIC","$25000 OR MORE",NA,47,NA,"NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG DEMOCRAT",NA,"FEMALE",2002
"36705",36705,"PACIFIC","$6000 TO 6999","PRETTY HAPPY",77,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL","FAIR","WORKING PARTTIME","STRONG DEMOCRAT","LIBERAL","FEMALE",2000
"22239",22239,"E. NOR. CENTRAL","$10000 - 14999","VERY HAPPY",67,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","KEEPING HOUSE","STRONG DEMOCRAT","LIBERAL","FEMALE",1989
"12313",12313,"E. NOR. CENTRAL","$6000 TO 6999","NOT TOO HAPPY",23,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","OTHER","STRONG DEMOCRAT","CONSERVATIVE","MALE",1982
"23350",23350,"PACIFIC","$10000 - 14999","VERY HAPPY",30,"BELOW AVERAGE","NEVER MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","MALE",1990
"52738",52738,"E. SOU. CENTRAL","$20000 - 24999","NOT TOO HAPPY",30,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","IAP","OTHER","NOT STR DEMOCRAT","MODERATE","FEMALE",2010
"45013",45013,"MIDDLE ATLANTIC","$10000 - 14999",NA,49,NA,"MARRIED","LT HIGH SCHOOL","EXCELLENT","OTHER","INDEPENDENT","MODERATE","FEMALE",2006
"29502",29502,"SOUTH ATLANTIC",NA,"NOT TOO HAPPY",68,"AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","RETIRED","INDEPENDENT","CONSERVATIVE","MALE",1994
"33338",33338,"E. SOU. CENTRAL",NA,"PRETTY HAPPY",68,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","RETIRED","NOT STR REPUBLICAN","MODERATE","FEMALE",1996
"2183",2183,"W. NOR. CENTRAL","$10000 - 14999","VERY HAPPY",25,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","IND NEAR REP","SLIGHTLY LIBERAL","FEMALE",1974
"3232",3232,"W. SOU. CENTRAL","$4000 TO 4999","PRETTY HAPPY",43,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",1975
"33558",33558,"MOUNTAIN","$8000 TO 9999","PRETTY HAPPY",29,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","TEMP NOT WORKING","INDEPENDENT","SLIGHTLY LIBERAL","MALE",1996
"18656",18656,"SOUTH ATLANTIC","$25000 OR MORE","NOT TOO HAPPY",23,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING PARTTIME","IND NEAR REP","CONSERVATIVE","FEMALE",1987
"47802",47802,"MOUNTAIN","$15000 - 19999","PRETTY HAPPY",60,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",2006
"16327",16327,"E. NOR. CENTRAL",NA,"PRETTY HAPPY",26,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","STRONG DEMOCRAT","LIBERAL","FEMALE",1985
"7228",7228,"PACIFIC",NA,"NOT TOO HAPPY",45,"AVERAGE","DIVORCED","JUNIOR COLLEGE","POOR","OTHER","IND NEAR REP","MODERATE","MALE",1977
"19235",19235,"W. SOU. CENTRAL","$8000 TO 9999","NOT TOO HAPPY",79,"AVERAGE","NEVER MARRIED","BACHELOR","FAIR","RETIRED","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",1987
"21494",21494,"W. NOR. CENTRAL","$15000 - 19999","VERY HAPPY",38,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",1988
"1811",1811,"NEW ENGLAND","$4000 TO 4999","PRETTY HAPPY",61,"BELOW AVERAGE","SEPARATED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","MALE",1974
"31388",31388,"SOUTH ATLANTIC","$25000 OR MORE","NOT TOO HAPPY",48,"AVERAGE","DIVORCED","HIGH SCHOOL","GOOD","OTHER","STRONG REPUBLICAN","MODERATE","MALE",1996
"31905",31905,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",43,"AVERAGE","MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","FEMALE",1996
"33368",33368,"E. SOU. CENTRAL","$25000 OR MORE","NOT TOO HAPPY",20,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",1996
"5800",5800,"E. NOR. CENTRAL","$4000 TO 4999","NOT TOO HAPPY",20,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","FAIR","KEEPING HOUSE","IND NEAR REP","MODERATE","FEMALE",1976
"35738",35738,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",27,"ABOVE AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",1998
"53313",53313,"W. SOU. CENTRAL","$25000 OR MORE","NOT TOO HAPPY",41,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","GOOD","TEMP NOT WORKING","STRONG DEMOCRAT","MODERATE","MALE",2010
"39233",39233,"W. SOU. CENTRAL","REFUSED","VERY HAPPY",51,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN","SLIGHTLY LIBERAL","FEMALE",2000
"30540",30540,"E. SOU. CENTRAL","$6000 TO 6999","NOT TOO HAPPY",49,"FAR BELOW AVERAGE","DIVORCED","HIGH SCHOOL","POOR","KEEPING HOUSE","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",1994
"7631",7631,"MIDDLE ATLANTIC","$20000 - 24999","PRETTY HAPPY",28,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",1978
"41890",41890,"W. SOU. CENTRAL","$25000 OR MORE",NA,60,NA,"MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","NOT STR REPUBLICAN",NA,"FEMALE",2002
"37246",37246,"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",54,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","IND NEAR DEM","MODERATE","MALE",2000
"7663",7663,"MIDDLE ATLANTIC","$25000 OR MORE","VERY HAPPY",52,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR REPUBLICAN","MODERATE","FEMALE",1978
"12251",12251,"E. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",63,"AVERAGE","DIVORCED","HIGH SCHOOL","FAIR","RETIRED","STRONG DEMOCRAT","SLIGHTLY LIBERAL","MALE",1982
"13363",13363,"MIDDLE ATLANTIC","$4000 TO 4999","PRETTY HAPPY",28,"BELOW AVERAGE","SEPARATED","LT HIGH SCHOOL",NA,"KEEPING HOUSE","NOT STR DEMOCRAT","MODERATE","FEMALE",1983
"6515",6515,"E. NOR. CENTRAL","$5000 TO 5999","VERY HAPPY",35,"FAR BELOW AVERAGE","DIVORCED","HIGH SCHOOL","EXCELLENT","WORKING PARTTIME","NOT STR REPUBLICAN","LIBERAL","FEMALE",1977
"6621",6621,"PACIFIC","$3000 TO 3999","PRETTY HAPPY",74,"AVERAGE","WIDOWED","LT HIGH SCHOOL","POOR","RETIRED","STRONG DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",1977
"352",352,"E. NOR. CENTRAL","$3000 TO 3999","VERY HAPPY",67,"FAR BELOW AVERAGE","MARRIED","LT HIGH SCHOOL","FAIR","RETIRED","STRONG DEMOCRAT",NA,"MALE",1973
"22518",22518,"SOUTH ATLANTIC","$5000 TO 5999","VERY HAPPY",62,"FAR BELOW AVERAGE","MARRIED","HIGH SCHOOL","POOR","RETIRED","NOT STR DEMOCRAT","CONSERVATIVE","MALE",1989
"801",801,"MIDDLE ATLANTIC","$5000 TO 5999","VERY HAPPY",70,"ABOVE AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","RETIRED","STRONG REPUBLICAN",NA,"MALE",1973
"35463",35463,"MOUNTAIN","$25000 OR MORE","NOT TOO HAPPY",58,"AVERAGE","MARRIED","BACHELOR","POOR","OTHER","NOT STR DEMOCRAT","MODERATE","FEMALE",1998
"52011",52011,"SOUTH ATLANTIC","$25000 OR MORE","PRETTY HAPPY",62,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","SLGHTLY CONSERVATIVE","FEMALE",2010
"52899",52899,"PACIFIC","$25000 OR MORE","PRETTY HAPPY",53,"BELOW AVERAGE","MARRIED","LT HIGH SCHOOL","FAIR","UNEMPL LAID OFF","STRONG DEMOCRAT","EXTREMELY LIBERAL","FEMALE",2010
"6475",6475,"MIDDLE ATLANTIC","$8000 TO 9999","VERY HAPPY",20,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","LIBERAL","MALE",1977
"12277",12277,"SOUTH ATLANTIC","$6000 TO 6999","NOT TOO HAPPY",43,"FAR BELOW AVERAGE","SEPARATED","HIGH SCHOOL","FAIR","WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","FEMALE",1982
"57",57,"MIDDLE ATLANTIC","$15000 - 19999","VERY HAPPY",58,"ABOVE AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN",NA,"MALE",1973
"42953",42953,"W. SOU. CENTRAL","$20000 - 24999",NA,35,NA,"MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR REP",NA,"FEMALE",2004
"43549",43549,"E. SOU. CENTRAL","$25000 OR MORE",NA,38,NA,"MARRIED","GRADUATE",NA,"WORKING PARTTIME","STRONG REPUBLICAN",NA,"FEMALE",2004
"48767",48767,"W. SOU. CENTRAL","$1000 TO 2999","PRETTY HAPPY",20,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","FAIR","SCHOOL","INDEPENDENT","MODERATE","FEMALE",2006
"40310",40310,"E. NOR. CENTRAL","$25000 OR MORE","VERY HAPPY",62,"AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","FEMALE",2002
"42445",42445,"PACIFIC","$25000 OR MORE",NA,32,NA,"MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR REP",NA,"FEMALE",2004
"37837",37837,"W. SOU. CENTRAL",NA,"PRETTY HAPPY",38,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","FEMALE",2000
"40012",40012,"PACIFIC","$3000 TO 3999","PRETTY HAPPY",65,"FAR BELOW AVERAGE","DIVORCED","HIGH SCHOOL","FAIR","RETIRED","INDEPENDENT","MODERATE","FEMALE",2002
"37567",37567,"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",78,"AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","RETIRED","STRONG REPUBLICAN","MODERATE","MALE",2000
"19694",19694,"SOUTH ATLANTIC","$1000 TO 2999","VERY HAPPY",68,"ABOVE AVERAGE","SEPARATED","LT HIGH SCHOOL","FAIR","RETIRED","INDEPENDENT",NA,"FEMALE",1987
"4726",4726,"E. SOU. CENTRAL","$10000 - 14999","PRETTY HAPPY",89,"AVERAGE","WIDOWED","LT HIGH SCHOOL","POOR","OTHER","STRONG DEMOCRAT","LIBERAL","FEMALE",1976
"33472",33472,"E. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",68,"BELOW AVERAGE","MARRIED","GRADUATE","FAIR","RETIRED","NOT STR REPUBLICAN","MODERATE","MALE",1996
"14690",14690,"SOUTH ATLANTIC","$3000 TO 3999","NOT TOO HAPPY",20,"BELOW AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","KEEPING HOUSE","INDEPENDENT","SLIGHTLY LIBERAL","FEMALE",1984
"23739",23739,"NEW ENGLAND","$25000 OR MORE","VERY HAPPY",44,"ABOVE AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","IND NEAR DEM","SLGHTLY CONSERVATIVE","MALE",1990
"3705",3705,"SOUTH ATLANTIC","$6000 TO 6999","PRETTY HAPPY",25,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","POOR","WORKING FULLTIME","STRONG DEMOCRAT","LIBERAL","MALE",1975
"19005",19005,"E. NOR. CENTRAL","$4000 TO 4999","NOT TOO HAPPY",53,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL","POOR","OTHER","STRONG DEMOCRAT","MODERATE","FEMALE",1987
"45127",45127,"PACIFIC","$10000 - 14999","NOT TOO HAPPY",66,"FAR BELOW AVERAGE","SEPARATED","HIGH SCHOOL","POOR","UNEMPL LAID OFF","STRONG DEMOCRAT","CONSERVATIVE","FEMALE",2006
"1956",1956,"E. NOR. CENTRAL","$15000 - 19999","PRETTY HAPPY",60,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","TEMP NOT WORKING","STRONG DEMOCRAT","LIBERAL","FEMALE",1974
"10928",10928,"MOUNTAIN","$6000 TO 6999","PRETTY HAPPY",26,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",1982
"9559",9559,"MIDDLE ATLANTIC","REFUSED","VERY HAPPY",68,"ABOVE AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","KEEPING HOUSE","IND NEAR REP","SLGHTLY CONSERVATIVE","FEMALE",1980
"34097",34097,"PACIFIC","$8000 TO 9999","PRETTY HAPPY",20,"FAR BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","UNEMPL LAID OFF","IND NEAR DEM","LIBERAL","MALE",1998
"17337",17337,"SOUTH ATLANTIC","$15000 - 19999","PRETTY HAPPY",27,"AVERAGE","DIVORCED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR DEM","MODERATE","FEMALE",1986
"18724",18724,"W. NOR. CENTRAL","$20000 - 24999","PRETTY HAPPY",29,"ABOVE AVERAGE","NEVER MARRIED","BACHELOR","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",1987
"37333",37333,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",75,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT",NA,"MALE",2000
"28795",28795,"MIDDLE ATLANTIC","$15000 - 19999","NOT TOO HAPPY",78,"AVERAGE","WIDOWED","HIGH SCHOOL","POOR","KEEPING HOUSE","NOT STR REPUBLICAN","SLGHTLY CONSERVATIVE","FEMALE",1994
"27548",27548,"MOUNTAIN","$20000 - 24999","VERY HAPPY",57,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING FULLTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","FEMALE",1993
"12821",12821,"PACIFIC","$3000 TO 3999","PRETTY HAPPY",19,"FAR BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","STRONG REPUBLICAN",NA,"MALE",1983
"44144",44144,"W. NOR. CENTRAL","$20000 - 24999","VERY HAPPY",25,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","SLGHTLY CONSERVATIVE","MALE",2004
"24700",24700,"PACIFIC","$25000 OR MORE","PRETTY HAPPY",64,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL","GOOD","KEEPING HOUSE","STRONG DEMOCRAT","LIBERAL","FEMALE",1991
"52774",52774,"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",43,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","GOOD","KEEPING HOUSE","INDEPENDENT","SLGHTLY CONSERVATIVE","FEMALE",2010
"28931",28931,"MIDDLE ATLANTIC","$8000 TO 9999","PRETTY HAPPY",41,"BELOW AVERAGE","DIVORCED","HIGH SCHOOL",NA,"WORKING PARTTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",1994
"24481",24481,"W. SOU. CENTRAL","$25000 OR MORE","VERY HAPPY",43,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR DEM","EXTRMLY CONSERVATIVE","MALE",1990
"25579",25579,"SOUTH ATLANTIC","$10000 - 14999","PRETTY HAPPY",61,"FAR BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","UNEMPL LAID OFF","OTHER PARTY","SLIGHTLY LIBERAL","MALE",1991
"51747",51747,"NOT ASSIGNED","$25000 OR MORE","PRETTY HAPPY",72,"AVERAGE","SEPARATED","GRADUATE","FAIR","RETIRED","IND NEAR REP","CONSERVATIVE","MALE",2010
"26134",26134,"PACIFIC","REFUSED","NOT TOO HAPPY",82,"AVERAGE","WIDOWED","HIGH SCHOOL","POOR","RETIRED","NOT STR REPUBLICAN","MODERATE","FEMALE",1991
"30002",30002,"PACIFIC","$20000 - 24999","PRETTY HAPPY",23,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME",NA,"MODERATE","FEMALE",1994
"52641",52641,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",34,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","KEEPING HOUSE","NOT STR DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",2010
"44266",44266,"W. NOR. CENTRAL","$15000 - 19999",NA,78,NA,"MARRIED","LT HIGH SCHOOL",NA,"OTHER","STRONG DEMOCRAT",NA,"MALE",2004
"13216",13216,"PACIFIC","REFUSED","PRETTY HAPPY",34,"ABOVE AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","IND NEAR DEM","SLIGHTLY LIBERAL","MALE",1983
"40863",40863,"SOUTH ATLANTIC","$25000 OR MORE","NOT TOO HAPPY",31,"BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","SLIGHTLY LIBERAL","FEMALE",2002
"38329",38329,"MIDDLE ATLANTIC",NA,"PRETTY HAPPY",23,"BELOW AVERAGE","NEVER MARRIED",NA,"GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2000
"12359",12359,"PACIFIC","$20000 - 24999","VERY HAPPY",20,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","KEEPING HOUSE","STRONG DEMOCRAT","MODERATE","FEMALE",1982
"46975",46975,"E. NOR. CENTRAL","$25000 OR MORE",NA,72,NA,"NEVER MARRIED","HIGH SCHOOL","FAIR","RETIRED","INDEPENDENT","MODERATE","FEMALE",2006
"11569",11569,"SOUTH ATLANTIC","$8000 TO 9999","NOT TOO HAPPY",26,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","GOOD","WORKING FULLTIME","IND NEAR DEM","MODERATE","MALE",1982
"42262",42262,"PACIFIC","$25000 OR MORE",NA,74,NA,"MARRIED","GRADUATE",NA,"RETIRED","STRONG REPUBLICAN",NA,"MALE",2004
"2504",2504,"E. NOR. CENTRAL","$3000 TO 3999","PRETTY HAPPY",25,"FAR BELOW AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING PARTTIME","IND NEAR DEM","MODERATE","MALE",1974
"26362",26362,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",43,"AVERAGE","MARRIED","BACHELOR","GOOD","WORKING FULLTIME","STRONG REPUBLICAN","LIBERAL","FEMALE",1993
"27158",27158,"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",29,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","FEMALE",1993
"34835",34835,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",63,"BELOW AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING PARTTIME","IND NEAR REP","SLGHTLY CONSERVATIVE","MALE",1998
"19728",19728,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",63,"AVERAGE","MARRIED","HIGH SCHOOL","GOOD","WORKING PARTTIME","NOT STR REPUBLICAN","MODERATE","MALE",1987
"12412",12412,"MIDDLE ATLANTIC","$25000 OR MORE","PRETTY HAPPY",37,"ABOVE AVERAGE","MARRIED","GRADUATE",NA,"WORKING FULLTIME","NOT STR DEMOCRAT","LIBERAL","MALE",1983
"5636",5636,"SOUTH ATLANTIC","$1000 TO 2999","NOT TOO HAPPY",77,"AVERAGE","WIDOWED","LT HIGH SCHOOL","POOR","KEEPING HOUSE","NOT STR DEMOCRAT","CONSERVATIVE","FEMALE",1976
"37857",37857,"W. SOU. CENTRAL","REFUSED","NOT TOO HAPPY",42,"FAR BELOW AVERAGE","SEPARATED","JUNIOR COLLEGE","GOOD","TEMP NOT WORKING","IND NEAR DEM","SLGHTLY CONSERVATIVE","MALE",2000
"16487",16487,"PACIFIC","REFUSED","PRETTY HAPPY",87,"AVERAGE","WIDOWED","LT HIGH SCHOOL","GOOD","KEEPING HOUSE","STRONG REPUBLICAN","MODERATE","MALE",1985
"35471",35471,"E. NOR. CENTRAL","$25000 OR MORE","PRETTY HAPPY",40,"AVERAGE","MARRIED","HIGH SCHOOL","FAIR","WORKING PARTTIME","OTHER PARTY","MODERATE","FEMALE",1998
"2573",2573,"W. SOU. CENTRAL","$3000 TO 3999","VERY HAPPY",71,"BELOW AVERAGE","DIVORCED","LT HIGH SCHOOL","FAIR","TEMP NOT WORKING","STRONG DEMOCRAT","EXTREMELY LIBERAL","FEMALE",1974
"1017",1017,"SOUTH ATLANTIC","$10000 - 14999","NOT TOO HAPPY",61,"AVERAGE","WIDOWED","HIGH SCHOOL","GOOD","WORKING FULLTIME","STRONG DEMOCRAT",NA,"FEMALE",1973
"48920",48920,"SOUTH ATLANTIC","$10000 - 14999",NA,47,NA,"NEVER MARRIED","LT HIGH SCHOOL","GOOD","WORKING FULLTIME","INDEPENDENT","MODERATE","MALE",2006
"24753",24753,"E. NOR. CENTRAL","$3000 TO 3999","PRETTY HAPPY",31,"FAR BELOW AVERAGE","DIVORCED","HIGH SCHOOL",NA,"SCHOOL","IND NEAR DEM","MODERATE","FEMALE",1991
"21466",21466,"W. NOR. CENTRAL","$4000 TO 4999","VERY HAPPY",75,"BELOW AVERAGE","NEVER MARRIED","LT HIGH SCHOOL","POOR","KEEPING HOUSE","NOT STR REPUBLICAN","CONSERVATIVE","FEMALE",1988
"41483",41483,"W. NOR. CENTRAL","$15000 - 19999","PRETTY HAPPY",85,"AVERAGE","MARRIED","LT HIGH SCHOOL","GOOD","RETIRED","STRONG DEMOCRAT","MODERATE","MALE",2002
"26839",26839,"E. SOU. CENTRAL",NA,"VERY HAPPY",27,"AVERAGE","NEVER MARRIED","JUNIOR COLLEGE","POOR","OTHER","STRONG DEMOCRAT","SLGHTLY CONSERVATIVE","FEMALE",1993
"29585",29585,"SOUTH ATLANTIC","$25000 OR MORE","VERY HAPPY",32,"AVERAGE","MARRIED","GRADUATE","EXCELLENT","WORKING FULLTIME","STRONG REPUBLICAN","CONSERVATIVE","MALE",1994
"1728",1728,"PACIFIC","$7000 TO 7999","PRETTY HAPPY",56,"BELOW AVERAGE","WIDOWED","BACHELOR","GOOD","KEEPING HOUSE","STRONG REPUBLICAN","CONSERVATIVE","FEMALE",1974
"16783",16783,"W. SOU. CENTRAL","$25000 OR MORE","PRETTY HAPPY",20,"AVERAGE","NEVER MARRIED","HIGH SCHOOL","EXCELLENT","WORKING FULLTIME","NOT STR DEMOCRAT","MODERATE","MALE",1985
"19403",19403,"PACIFIC","$25000 OR MORE","VERY HAPPY",78,"BELOW AVERAGE","MARRIED","BACHELOR","FAIR","WORKING PARTTIME","STRONG REPUBLICAN","EXTRMLY CONSERVATIVE","MALE",1987
"30890",30890,"MIDDLE ATLANTIC",NA,"VERY HAPPY",48,"AVERAGE","MARRIED","HIGH SCHOOL",NA,"WORKING PARTTIME","INDEPENDENT","MODERATE","FEMALE",1996
"14851",14851,"SOUTH ATLANTIC","$20000 - 24999","PRETTY HAPPY",32,"AVERAGE","MARRIED","JUNIOR COLLEGE","GOOD","WORKING PARTTIME","STRONG DEMOCRAT","MODERATE","FEMALE",1984
"5242",5242,"NEW ENGLAND","$10000 - 14999","PRETTY HAPPY",41,"BELOW AVERAGE","WIDOWED","HIGH SCHOOL","FAIR","WORKING FULLTIME","IND NEAR DEM","LIBERAL","FEMALE",1976
